text,label,source,source_url,author,label_reason
cat /proc/device-tree/model returns something like Raspberry Pi 3 Model B Rev 1.2,evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/72987,SBF,Answer post with technical guidance or troubleshooting steps.
"With the Raspbian image, you can re-run the initial start up script using: $ sudo raspi-config and entering your sudo password. This will bring up the same menu options that you got after first boot. You do not need to remake all your first boot choices, just use the arrow keys to move to the menu options you want to change. In your case, selecting: Start X-server after boot? and choosing: no or disable will sort you out. Editing to add non gui based options: As noted in the comments below by @mirk, the exact command for the raspberry is: sudo update-rc.d lightdm disable",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/1320,zenbike,Answer post with technical guidance or troubleshooting steps.
"The solution suggested by Diego is good except that it's pretty slow and has a huge video delay since the vlc there re-streams a stream of the raspvid. Since 12/2013 there is an official v4l2 driver available: http://www.ics.com/blog/raspberry-pi-camera-module#.VJFhbyvF-b8 This renders the mentioned re-streaming obsolete. Simply load the module and use it: sudo modprobe bcm2835-v4l2 cvlc v4l2:///dev/video0 --v4l2-width 1920 --v4l2-height 1080 --v4l2-chroma h264 --sout '#standard{access=http,mux=ts,dst=0.0.0.0:12345}' This creates an http stream at port 12345, you can use other formats too, like the rtcp one from the Diego's answer. Read more on it here: https://wiki.videolan.org/Documentation:Streaming_HowTo/Advanced_Streaming_Using_the_Command_Line/",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/26075,Lao,Answer post with technical guidance or troubleshooting steps.
"VirtualBox lets you run x86 virtual machines on an x86 processor. Raspbian is a distribution for ARM processors. Raspbian cannot run in VirtualBox. Raspbian is essentially Debian with binaries compiled to match the Pi's processor more closely than the official Debian binaries. So if you're going to your system in a virtual machine rather than on Pi hardware, there is very little reason to run Raspbian and not Debian. If you really want to run Raspbian in a virtual machine on your PC (again, for most purposes, you might as well run Debian x86), you need one that emulates the hardware, such as QEmu . See Emulation on a Windows PC",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/1192,Gilles 'SO- stop being evil',Answer post with technical guidance or troubleshooting steps.
"If you're running macOS or Linux, try this one: $ arp -na | grep -i b8:27:eb or (a more up-to-date range of MAC addresses): $ arp -na | grep -Ei '(28:CD:C1|B8:27:EB|D8:3A:DD|DC:A6:32|E4:5F:01)' On Windows, you can use: arp -a | findstr b8-27-eb On RPi 4B, you need to use different string for comparison ( dc:a6:32:be:95 ). You can check it on your RPi by ip -br link There will be entries for each network card: eth0 is cable internet wlan0 is the WiFi.",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/34594,mrded,Answer post with technical guidance or troubleshooting steps.
"Quoting the documentation : As of the November 2016 release, Raspbian has the SSH server disabled by default. You will have to enable it manually. To enable SSH on machines through console: Enter sudo raspi-config in the terminal, first select Interfacing Options , then navigate to ssh , press Enter and select Enable or disable ssh server . To enable SSH for headless machines: For headless setup, SSH can be enabled by placing a file named ssh , without any extension, onto the boot partition of the SD card.",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/58479,Edward Long,Answer post with technical guidance or troubleshooting steps.
"If the solution provided by @theoB610 still doesn't work, then you might have to flush the wlan0 device before ifup and ifdown . sudo ip addr flush dev wlan0 This is a problem not too specific to Raspberry Pi, a similar problem occurred and was solved in wired networks in here (from where I derived the solution for my problem with the Pi).",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/51947,Ébe Isaac,Answer post with technical guidance or troubleshooting steps.
This depends on the distribution you have downloaded. The default passwords for common distributions are as follows: Distribution | Username | Password ---------------|------------|------------- Debian Squeeze | pi | raspberry Arch | root | root QtonPi | root | rootme Raspbian | pi | raspberry OpenElec | root | openelec Straight after logging in you should change your password by using the passwd command at the shell prompt $ passwd,evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/661,Maria Zverina,Answer post with technical guidance or troubleshooting steps.
"How brave do you feel? It's safest to make a fresh install on a new SD card. The braver way I'd use is: Backup any files which are important to you. With your new or existing install. sudo apt-get update sudo apt-get upgrade sudo apt-get dist-upgrade to make sure wheezy is fully up to date. Edit /etc/apt/sources.list and change wheezy to jessie. There may also be files in /etc/apt/sources.list.d/ that also need updating, to replace wheezy with jessie. Then update and upgrade again sudo apt-get update sudo apt-get upgrade sudo apt-get dist-upgrade",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/27859,joan,Answer post with technical guidance or troubleshooting steps.
"No. The reason a DVI-to-VGA adapter works on your PC & laptop is that DVI includes analog (RGB) pins. The adapter is passive; It just connects the red analog output of the PC to the red analog input of the monitor, ditto for green and blue. They are included on most PCs and laptops for backward compatibility. HDMI-to-DVI cables are also passive, but they carry digital signals only. The analog RGB signals are missing, but that does not matter as the DVI monitor does not need them. HDMI contains no analog signal so it is not possible for any combination of passive adapters and/or cables to convert it to VGA. Active adapters work because they use DSPs and DACs to convert from one standard to the other, but of course they are more expensive than passive cables. Related forum thread: http://www.raspberrypi.org/phpBB3/viewtopic.php?f=30&t=8125",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/231,finnw,Answer post with technical guidance or troubleshooting steps.
"You have to use avahi-daemon (zeroconf) if you want to connect via a hostname instead of an IP address. From the Raspberry Pi documentation on RPi Advanced Setup : Install avahi with the following commands on the Raspberry Pi: sudo apt-get install avahi-daemon Update boot startup for avahi-daemon sudo insserv avahi-daemon Apply the new configuration with: sudo /etc/init.d/avahi-daemon restart The Raspberry Pi should now be addressable from other machines as raspberrypi.local, for example: ssh pi@raspberrypi.local or http://raspberrypi.local if you have HTTP service installed. If you couldn't connect from Windows PCs via SSH probably you haven't installed the Bonjour service. Get Bonjour for Windows: Download Bonjour Print Services for Windows v2.0.2 . Just install it.",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/7647,gurcanozturk,Answer post with technical guidance or troubleshooting steps.
"This is an X power-saving thing. Firstly, you may need to install xset , a lightweight application that controls some X settings. apt-get install x11-xserver-utils Now open up your ~/.xinitrc file (if you don't have one then create it) and enter this: xset s off # don't activate screensaver xset -dpms # disable DPMS (Energy Star) features. xset s noblank # don't blank the video device exec /etc/alternatives/x-session-manager # start lxde This file runs once every time X starts and should solve the problem. I copy and pasted it from my own .xinitrc and can confirm that my screen does not blank.",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/753,Jivings,Answer post with technical guidance or troubleshooting steps.
"(Only for RPi 1 and RPi 2, not RPi 3+. ""does not work on dhcpcd based distros"") Well, there is a very simple solution: Go to /etc/ifplugd/action.d/ and rename the ifupdown file to ifupdown.original Then do: cp /etc/wpa_supplicant/ifupdown.sh ./ifupdown Finally: sudo reboot That's all. Test this by turning off/on your AP; you should see that your Raspberry Pi properly reconnects.",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/5341,AndaluZ,Answer post with technical guidance or troubleshooting steps.
"Instead of a manual cron, you can install unattended-upgrades , which is useful to ensure the latest kernels are installed. It's mostly designed for security. apt-get install unattended-upgrades There are some bits that can be adjusted/configured, but the default is fine.",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/38990,300D7309EF17,Answer post with technical guidance or troubleshooting steps.
"Problem solved! It seems that even though I added the gateway information into the interfaces file, wlan0 didn't really have a default gateway. When I ran sudo route -n it yielded Kernel IP routing table Destination Gateway Genmask Flags Metric Ref Use Iface 192.168.1.0 0.0.0.0 255.255.255.0 U 0 0 0 wlan0 There it is - no Gateway IP. I typed this: sudo route add default gw 192.168.1.1 (where 192.168.1.1 is an IP address of my router, which is connected to the outside net) Et voilà: it works.",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/14107,Błażej Michalik,Answer post with technical guidance or troubleshooting steps.
There are no ventilation or cooling requirements. This has been verified by an RPi admin here .,evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/111,Jivings,Answer post with technical guidance or troubleshooting steps.
"To enable ssh at startup, backup boot.rc on the boot partition on the SD image and replace it with boot_enable_ssh.rc I don't know about your router, but you may be able to configure it to reserve a fixed IP address for the MAC address of your Pi.",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/198,finnw,Answer post with technical guidance or troubleshooting steps.
I believe the following is correct for the B+. Red PWR LED on if power OK flashes (or goes out) if the power drops below about 4.63V Green ACT LED steady on if no SD card during boot irregular flashes for SD card access Ethernet Socket Left LED (yellow) on 100-Mbps connection off 10-Mbps connection Ethernet Socket Right LED (green) on if link established flashes for port activity off if no link is established http://www.raspberrypi.org/forums/viewtopic.php?p=577688#p577688 http://www.raspberrypi.org/forums/viewtopic.php?p=646072#p646072 http://ww1.microchip.com/downloads/en/DeviceDoc/9514.pdf,evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/24674,joan,Answer post with technical guidance or troubleshooting steps.
I was able to remove the desktop environment include with Raspbian by first removing x11-common and then removing my 'stale' packages. sudo apt-get remove --purge x11-common sudo apt-get autoremove,evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/9144,Keith Smiley,Answer post with technical guidance or troubleshooting steps.
"It's best to always shutdown correctly if you can. Constantly unplugging the device without shutting down gracefully may have undesireable effects on the SD card (a temperamental object already). For reference, to shut down from the terminal you can use: sudo shutdown -h now or sudo halt These commands send SIGTERM to all running processes, notifying them to save their data and exit. It then sends SIGKILL to all remaining processes to halt the system, followed by finally unmounting all filesystems. The screen will then show System Halted and you can pull the plug.",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/384,Jivings,Answer post with technical guidance or troubleshooting steps.
"As of 2012, your best bet was to implement your computation as a fragment shader in GLSL ES and find a way to represent the output as a RGBA (32-bit) texture. Eben stated in this 2012 talk that OpenCL is not likely to be implemented, but that there may be an API developed in the future; the answer starts at 21:20 , and Eben says ""we may provide some way for people to get some of that general purpose compute out"". Recent developments such as the VC4CL project have attempted to implement OpenCL on the VideoCore IV GPU used by the Raspberry Pi, and other related projects now provide access to some of the general compute power of the GPU.",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/52,finnw,Answer post with technical guidance or troubleshooting steps.
"Updated (much has changed): BogoMIPS is not useful for the new ondemand overclock config in raspi-config. It will provide 697 (which means 700MHz here) if you overclocked to 1GHz, because it is still in idle mode. 800 MHz are about 795.44 BogoMIPS . maximum CPU frequence (e.g. when your CPU is under load) sudo cat /sys/devices/system/cpu/cpu0/cpufreq/cpuinfo_max_freq minimum CPU frequence (when your CPU is idle) sudo cat /sys/devices/system/cpu/cpu0/cpufreq/cpuinfo_min_freq current CPU frequence: sudo cat /sys/devices/system/cpu/cpu0/cpufreq/cpuinfo_cur_freq If this doesn't exist, then your Raspbian is outdated. Try updating it using apt-get update and apt-get upgrade Overclock: Nowadays you can easily overclock the Pi with the help of raspi-conf to ondemand 1GHz at maximum, your pi may fail to boot afterwards.",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/1223,keiki,Answer post with technical guidance or troubleshooting steps.
"You probably need to be running Raspbian to use RPi.GPIO as a non-root user, possibly it needs to be jessie as well. Does /dev/gpiomem exist? If so RPi.GPIO should use this device to access the GPIO. If /dev/gpiomem does not exist try: sudo rpi-update to make sure you are using a recent kernel, and sudo apt-get update sudo apt-get upgrade to make sure you are using a recent RPi.GPIO. You will also need to make sure you are a member of the gpio group: sudo adduser pi gpio EDITED TO ADD The Raspbian system appears to be in a state of flux. I'm not sure if it's a Raspbian or (more likely) a raspberrypi.org problem. Check that /dev/gpiomem has the correct permissions. $ ls -l /dev/gpiomem crw-rw---- 1 root gpio 244, 0 Dec 28 22:51 /dev/gpiomem If it doesn't then set the correct permissions as follows sudo chown root.gpio /dev/gpiomem sudo chmod g+rw /dev/gpiomem",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/40106,joan,Answer post with technical guidance or troubleshooting steps.
"From https://www.raspberrypi.org/documentation/remote-access/ssh/ As of the November 2016 release, Raspbian has the SSH server disabled by default. You will have to enable it manually. This is done using raspi-config: Enter sudo raspi-config in the terminal, first select Interfacing options , then navigate to ssh , press Enter and select Enable or disable ssh server . For headless setup, SSH can be enabled by placing a file named 'ssh', without any extension, onto the boot partition of the SD card.",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/58455,Gareth Oakley,Answer post with technical guidance or troubleshooting steps.
"If you want to do it with a shell script, here is a solution that works on Pi 1, 2 & 3 (not tested in zero). With the command: /opt/vc/bin/vcgencmd get_throttled If the answer is: throttled=0x0 You're good with the supplied voltage and SoC temperature. The bits on the returned number mean: Bit Hex value Meaning 0 1 Under-voltage detected 1 2 Arm frequency capped 2 4 Currently throttled 3 8 Soft temperature limit active 16 10000 Under-voltage has occurred 17 20000 Arm frequency capping has occurred 18 40000 Throttling has occurred 19 80000 Soft temperature limit has occurred A value of 0x50000 means 16 & 18 -- from the boot moment up to now Under-Voltage has occurred at some point as well as Throttling has occurred. Reference: vcgencmd Documentation .",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/91433,zertyz,Answer post with technical guidance or troubleshooting steps.
"Assuming that you are using Raspbian, it is actually rather simple to do what you ask. Simply open the terminal, and type in the following: sudo raspi-config The following window should show up Navigate to boot_behaviour and click enter. This should make it so that the GUI interface starts automatically.",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/7264,xxmbabanexx,Answer post with technical guidance or troubleshooting steps.
"If you want to login as root using SSH or WinSCP you need to edit the config of SSHD, do this: Login, and edit this file: sudo nano /etc/ssh/sshd_config Find this line: PermitRootLogin without-password Edit: PermitRootLogin yes Close and save file reboot or restart sshd service using: /etc/init.d/ssh restart Set a root password if there isn't one already: sudo passwd root Now you can login as root , but I recommend you using strong password or ssh-keys",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/48061,MadAntrax,Answer post with technical guidance or troubleshooting steps.
"This is the most authorative list . I personally bought a Transcend TS8GSDHC10 , but I am still waiting for my Raspberry Pi. You have to be careful and refer to the link, because there have been reported issues with people using microSD in SD adapters and also some of the higher class/speed SD cards suffer data transfer rate issues, so I would refer to this link before buying a new SD card.",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/11,EdChum,Answer post with technical guidance or troubleshooting steps.
"Take a look at the Raspberry Pi wiki on re-mapping the keyboard with Debian Squeeze : Re-mapping the keyboard with Debian Squeeze If different letters appear on-screen from that which you typed, you need to reconfigure you keyboard settings. In Debian, from a command line type: sudo dpkg-reconfigure keyboard-configuration Follow the prompts. To apply the changes type: sudo setupcon Or: From the command line type: sudo nano /etc/default/keyboard Then find where it says XKBLAYOUT=”gb” and change the gb to the two letter code for your country. Here is the list of current country codes from Wikipedia if you don't know your country code (use the codes in the column labeled alpha-2). Another way you can try switching the keyboard layout: $ setxkbmap de $ setxkbmap fr $ setxkbmap us",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/10103,syb0rg,Answer post with technical guidance or troubleshooting steps.
"The boot sequence of the Raspberry Pi is basically this: Stage 1 boot is in the on-chip ROM. Loads Stage 2 in the L2 cache Stage 2 is bootcode.bin . Enables SDRAM and loads Stage 3 Stage 3 is loader.bin . It knows about the .elf format and loads start.elf start.elf loads kernel.img . It then also reads config.txt , cmdline.txt and bcm2835.dtb If the dtb file exists, it is loaded at 0×100 & kernel @ 0×8000 If disable_commandline_tags is set it loads kernel @ 0×0 Otherwise it loads kernel @ 0×8000 and put ATAGS at 0×100 kernel.img is then run on the ARM. Everything is run on the GPU until kernel.img is loaded on the ARM. I found this diagram quite useful:",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/10595,SG60,Answer post with technical guidance or troubleshooting steps.
"You can embed the Raspberry Pi in any end-product you want. For mass production, the Compute Module may be a better choice. The Compute Module is a Raspberry Pi in a more flexible form factor, intended for industrial application. You cannot use the words Raspberry Pi to promote your product without permission. Raspberry Pi is trademarked. You will have to ensure you follow the terms of the software licences for any software you embed in your product.",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/34036,joan,Answer post with technical guidance or troubleshooting steps.
First thing to do: Open terminal Second you will need to update the repositories: sudo apt-get update An upgrade to the whole system isn't needed but it is recommended: sudo apt-get upgrade Now we can install the virtual keyboard: sudo apt-get install matchbox-keyboard Rebooting is recommended: sudo reboot Now you can access the keyboard: Menu >> Accessories >> Keyboard If the keyboard isn't visible on the menu you can enable it by going to: Menu >> Preferences >> Main Menu Editor There you will be able to enable the keyboard. If everything has gone perfectly you will now have an onscreen keyboard.,evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/41156,Michielvk,Answer post with technical guidance or troubleshooting steps.
"Headless VncServer Configuration If you need to configure accessing the pi with osx's Screen, but only have headless access to the pi, you can use a vnc config file. Enable VNC: sudo systemctl enable vncserver-x11-serviced Generate the password you wish to use in screen with vncpasswd -service sudo vncpasswd -service Create and edit the following file here: /etc/vnc/config.d/common.custom Enter the following config: Authentication=VncAuth Restart the vnc service: sudo systemctl restart vncserver-x11-serviced Open Screen on your mac with the instructions below, and use the password you provided to vncpasswd. If you need to monitor the logs for vncserver, you can use journalctl: sudo journalctl -u vncserver-x11-serviced.service Other parameters you can use with VncServer configs are described here: https://www.realvnc.com/en/connect/docs/server-parameter-ref.html",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/79626,aaronP,Answer post with technical guidance or troubleshooting steps.
"At a command prompt, type cat /proc/cpuinfo to view CPU information. The ARM11 chips use version 6 of the ARM instruction set, ARMv6. More recent chips from the ARM Cortex range like the Cortex A7, A8 etc all use the ARMv7 instruction set. All Pi boards are shipped with an ARM11. The options on the second line look like a better fit for building software for the Pi. The first set of options appears to be for a newer generation of ARM chip.",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/9918,Steve,Answer post with technical guidance or troubleshooting steps.
"The way that I've seen most people do it (have a look on the Raspberry Pi forums), and have done myself with success is using /etc/rc.local . All you need to do here is put ./myscript in the rc.local text file. If it's in python, put python myscript.py . This literally is ""a simple solution, (like dropping my script in some ""startup"" directory or something similar)""- maybe search on the forums when you're having questions as well, this solution came up on the first 4 results of a google search!",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/12484,theo-brown,Answer post with technical guidance or troubleshooting steps.
"One of my friends had the very same error which he resolved by following the steps on this page. Apparently there is a/are defect(s) which prevent xrdp working with the vncserver. However it works with tightvncserver Also the order of installation of tightvncserver and xrdp seems to be important. In summary remove the following packages : xrdp, vnc4server, tightvncserver sudo apt-get remove xrdp vnc4server tightvncserver install tightvncserver followed by xrdp sudo apt-get install tightvncserver sudo apt-get install xrdp",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/56415,Shreyas Murali,Answer post with technical guidance or troubleshooting steps.
You can access the camera board on /dev/video0 by running the command: sudo modprobe bcm2835-v4l2 This will have to be run on every boot of the device. Or you can put modprobe bcm2835-v4l2 in /etc/rc.local to make it run on every boot automatically.,evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/26386,11chubby11,Answer post with technical guidance or troubleshooting steps.
"From the RPi FAQ : What is the usable temperature range? The Raspberry Pi is built from commercial chips which are qualified to different temperature ranges; the LAN9512 is specified by the manufacturers being qualified from 0°C to 70°C, while the AP is qualified from -40°C to 85°C. You may well find that the board will work outside those temperatures, but we’re not qualifying the board itself to these extremes.",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/108,Jivings,Answer post with technical guidance or troubleshooting steps.
"Check for the existence of the directory: /lib/arm-linux-gnueabihf the soft-float version do not have this directory, they have: /lib/arm-linux-gnueabi instead, or you can list the packages installed using: dpkg -l and see the platform in the third column (all/armhf/armel)",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/4681,ikku,Answer post with technical guidance or troubleshooting steps.
"After searching around, this method worked for me. As you know, the Raspberry Pi 3 has NTP disabled by default. So by just typing this, the NTP support will be enabled: sudo timedatectl set-ntp True Check result with timedatectl status In case of warning, you may have to run sudo timedatectl set-local-rtc true too.",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/68473,Ariyankj,Answer post with technical guidance or troubleshooting steps.
"Is the Raspberry Pi suitable for running continuously, 24/7? I would like to run a headless machine to perform some basic automation and statistical generation (e.g. generating netstats, uploading to pvoutput.org), as well as any other trivial batch jobs that may spring up. As the RaspPi has been designed primarily as a learning device, is it still a good candidate for 100% up-time? I'm not sure if the unit's classroom-friendly design lends itself to such operational parameters (i.e. 'childproof' design = more robust; is the device built to run for the length of a school lesson etc). For the purposes of this question, I am assuming the RaspPi is housed in a case and located in a 'safe' operating environment (i.e. indoors). - 21 Oct 2012 : There is a useful related thread here re: SD card life: How can I extend the life of my SD card?",implementation_question,Raspberry Pi Stack Exchange question,https://raspberrypi.stackexchange.com/questions/325/is-the-raspberry-pi-suitable-for-running-continuously-24-7,Beeblebrox,Question post with concrete implementation context.
